,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
133,0,0,0,0,0,0,0,2,1,3,0,0
134,0,3,1,0,2,1,3,3,0,0,0,0
135,0,3,1,1,0,0,3,2,0,0,0,0
136,0,3,1,0,2,3,3,6,0,0,0,0
137,1,3,1,1,2,2,3,4,0,0,1,0
138,0,3,1,1,1,2,3,4,0,1,1,0
139,1,3,1,2,2,0,0,1,0,0,0,0
140,0,2,2,0,2,2,3,3,1,3,0,0
141,1,2,2,0,0,3,3,3,1,3,0,0
142,0,2,2,1,2,2,3,3,1,3,1,0
143,1,2,2,0,1,3,3,5,1,3,1,0
144,0,2,2,0,3,4,3,6,1,3,0,0
145,0,0,1,0,2,1,0,2,0,0,0,0
146,0,0,0,0,3,2,0,3,1,3,0,0
147,0,3,1,1,3,1,2,2,0,0,0,0
148,1,3,0,1,2,1,3,3,0,0,0,0
149,1,2,2,1,3,5,3,6,1,3,0,0
150,0,2,2,1,2,1,3,3,1,3,0,0
151,0,2,2,0,1,3,3,3,1,3,1,0
152,0,2,2,0,2,1,3,3,1,3,0,0
153,0,2,2,0,2,3,3,6,1,3,1,0
154,0,2,2,1,2,2,3,3,1,3,1,0
155,1,2,2,0,0,2,3,3,1,3,0,0
156,0,3,0,1,1,2,3,3,0,0,0,0
157,0,3,1,1,2,5,3,6,1,0,1,0
158,0,0,0,0,2,4,0,6,1,3,0,0
159,0,2,2,0,2,1,3,3,1,3,0,0
160,0,2,2,0,2,1,3,3,1,3,0,0
161,1,2,2,1,0,3,3,5,1,3,1,0
162,0,0,0,0,0,3,0,3,1,2,0,0
163,0,3,2,1,1,1,0,3,0,0,0,0
164,0,3,1,1,1,2,0,3,0,0,0,0
165,0,3,1,1,2,2,2,4,0,0,0,0
166,0,2,2,0,1,4,3,6,1,3,0,0
167,0,2,2,0,2,2,3,3,1,3,0,0
168,0,2,2,1,2,1,3,2,1,3,0,0
169,0,2,2,1,2,1,3,3,1,3,0,0
170,0,2,2,1,1,2,3,3,1,3,0,0
171,0,2,2,0,1,3,3,5,1,3,1,0
172,0,3,1,1,2,0,3,3,0,0,0,0
173,0,3,1,0,0,2,3,4,0,0,0,0
174,0,3,1,0,3,0,3,1,0,0,0,0
175,1,3,1,0,2,2,2,4,0,0,0,0
176,0,3,1,0,0,1,2,3,0,0,0,0
177,0,3,2,1,2,0,0,2,0,0,0,0
178,0,3,2,0,2,1,3,2,1,3,0,0
179,0,3,2,1,2,2,3,3,1,3,1,0
180,0,3,1,1,0,0,0,0,0,0,0,0
181,0,3,2,1,2,3,2,6,0,0,0,0
182,0,3,1,0,3,1,0,2,0,0,0,0
183,0,3,1,1,2,2,3,4,0,0,0,0
184,0,3,1,1,0,1,3,3,0,0,0,0
185,0,2,2,0,0,4,3,3,1,3,1,0
186,0,0,0,0,1,1,0,3,1,1,0,0
187,1,3,2,1,2,3,3,5,1,3,1,0
188,0,3,2,0,2,0,3,2,1,3,0,0
189,0,3,2,0,3,1,3,3,1,3,0,0
190,0,3,2,1,2,3,3,4,1,3,1,0
191,0,3,2,1,2,3,3,6,1,3,0,0
192,0,3,1,0,2,1,0,3,0,0,0,0
193,1,3,1,1,3,4,3,6,1,0,0,0
194,1,3,1,0,2,2,0,3,0,0,0,0
195,0,3,2,1,2,3,3,5,1,3,0,0
196,0,0,0,0,1,1,0,3,1,2,0,0
197,0,3,2,0,2,1,3,3,1,3,0,0
198,0,0,0,1,2,0,0,1,1,3,0,0
199,0,2,2,1,1,3,3,6,1,3,0,0
200,0,3,2,1,3,3,3,5,1,3,1,0
201,1,3,2,0,1,1,3,3,1,3,0,0
202,0,0,0,1,2,0,0,0,1,3,0,0
203,0,3,2,1,1,2,3,3,1,3,0,0
204,0,3,2,0,1,1,3,2,1,3,0,0
205,0,3,2,1,0,1,3,2,1,3,0,0
206,0,3,2,0,1,2,3,3,0,0,1,0
207,0,3,1,0,1,1,0,3,0,0,0,0
208,1,3,1,1,2,0,2,3,0,0,0,0
209,0,3,1,0,3,2,0,3,0,0,0,0
210,0,3,2,0,2,1,3,2,1,3,0,0
211,0,3,2,0,2,3,3,6,1,3,1,0
212,1,3,1,0,3,1,3,3,0,0,0,0
213,0,3,0,0,2,1,3,3,0,0,0,0
214,0,3,2,1,0,2,3,3,1,3,1,0
215,0,3,2,0,3,1,3,2,1,3,0,0
216,0,3,2,1,3,1,3,2,1,3,0,0
217,0,3,0,1,3,1,0,2,0,0,0,0
218,0,3,1,0,2,1,3,3,0,1,0,0
219,0,3,2,1,3,2,2,5,0,0,0,0
220,0,2,2,1,1,3,3,5,1,3,1,0
221,0,3,2,1,3,3,3,5,1,3,1,0
222,0,0,0,0,3,2,0,4,1,3,0,0
223,0,3,2,1,2,3,3,6,1,3,1,0
224,0,3,2,0,2,2,3,3,1,3,0,0
225,0,0,1,0,1,2,0,3,0,0,0,0
226,0,3,2,1,2,0,3,1,1,3,0,0
227,1,3,2,1,0,2,3,3,1,3,0,0
228,0,3,2,0,1,1,3,3,0,0,0,0
229,1,3,0,1,2,0,0,1,0,0,0,0
230,0,3,2,1,1,3,3,4,0,0,1,0
231,0,3,0,1,2,1,0,3,0,0,0,0
232,0,3,1,1,0,2,3,3,1,0,1,0
233,0,3,1,0,1,1,3,3,0,0,0,0
234,0,3,1,0,2,0,0,3,0,0,0,0
235,0,3,1,1,2,0,2,0,0,0,0,0
236,0,3,2,1,0,4,3,6,1,3,0,0
237,1,3,2,1,0,3,3,3,1,3,1,0
238,0,3,2,1,0,0,3,1,1,3,0,0
239,0,3,2,0,1,1,3,3,1,3,0,0
240,0,3,2,1,3,1,3,2,0,2,0,0
241,0,3,2,1,2,1,3,3,0,2,0,0
242,0,3,2,1,2,3,3,3,0,2,1,0
243,0,3,2,1,2,4,2,6,0,0,1,0
244,0,3,1,1,2,0,3,1,0,1,0,0
245,0,0,0,0,1,4,0,6,1,2,0,0
246,0,0,0,0,2,1,0,3,0,0,0,0
247,0,3,2,1,2,5,3,6,0,2,0,0
248,0,3,2,1,1,1,3,2,0,2,0,0
249,0,3,1,1,3,1,1,3,0,0,0,0
250,1,3,1,0,3,1,0,2,0,0,0,0
251,0,3,1,1,1,5,0,6,1,0,0,0
252,0,0,1,0,0,2,0,3,1,3,0,0
253,0,3,2,1,1,3,3,5,0,2,0,0
254,0,3,2,0,3,4,3,4,1,3,1,0
255,0,3,2,1,0,3,3,6,1,3,0,0
256,0,3,2,0,1,3,3,5,1,3,1,0
257,0,3,2,1,1,1,3,3,0,2,0,0
258,0,0,0,0,1,0,0,2,1,3,0,0
259,1,3,0,0,2,1,3,3,0,0,0,0
260,0,3,0,1,2,1,3,3,0,0,0,0
261,0,3,0,1,1,2,3,4,0,0,1,0
262,1,3,0,0,1,0,0,2,0,0,0,0
263,0,3,1,0,3,1,0,3,0,0,0,0
264,0,0,0,1,1,1,0,3,1,2,0,0
265,0,3,2,0,3,3,3,6,1,3,1,0
266,0,3,2,0,1,4,3,6,1,3,1,0
267,0,3,2,0,0,1,3,3,0,2,0,0
268,0,3,2,1,0,3,3,5,1,3,1,0
269,0,3,2,0,2,2,3,3,0,2,1,0
270,0,3,2,1,1,1,3,3,0,2,0,0
271,0,3,2,0,3,2,3,3,0,2,1,0
272,0,3,2,0,3,3,3,5,0,2,0,0
273,0,0,1,0,1,2,0,3,0,0,1,0
274,0,3,2,0,1,5,3,6,1,2,1,0
275,0,3,2,0,0,3,3,6,1,2,1,0
276,1,3,1,0,3,0,0,2,0,0,0,0
277,0,3,1,1,1,0,0,2,0,0,0,0
278,0,3,1,1,2,1,2,3,0,0,0,0
279,0,3,1,1,2,1,3,3,0,0,0,0
280,0,0,0,0,0,2,0,3,1,2,0,0
281,0,0,0,0,3,1,0,3,1,3,0,0
282,0,3,2,1,0,3,3,5,1,2,1,0
283,0,3,2,0,1,1,3,3,1,2,0,0
284,0,3,2,0,3,3,3,5,1,2,0,0
285,0,0,0,0,1,3,0,5,0,0,1,0
286,1,3,2,0,3,3,3,6,1,2,0,0
287,0,3,2,0,3,1,3,2,0,1,0,0
288,0,0,1,0,2,2,0,3,1,1,0,0
289,0,3,2,1,2,1,3,2,0,1,0,0
290,0,3,2,0,1,4,3,6,1,2,1,0
291,0,3,2,0,0,3,3,4,1,2,1,0
292,0,3,2,1,3,2,0,3,0,0,1,0
293,0,3,1,0,2,0,0,2,0,0,0,0
294,0,3,2,1,3,1,0,2,0,0,0,0
295,0,3,1,0,0,2,0,4,0,0,0,0
296,1,3,2,1,0,1,0,3,0,0,0,0
297,0,3,1,1,0,4,3,6,1,0,1,0
298,1,3,1,1,3,1,0,3,0,0,0,0
299,0,0,0,0,1,2,0,3,1,1,1,0
300,0,3,2,0,1,4,3,6,1,2,1,0
301,0,0,1,0,2,1,0,2,0,0,0,0
302,0,3,2,1,1,3,3,3,1,2,1,0
303,1,3,2,0,2,2,3,3,0,1,1,0
304,0,0,1,1,2,0,0,2,1,1,0,0
305,0,3,2,0,2,3,3,6,1,1,1,0
306,0,3,2,1,0,0,2,2,0,0,0,0
307,0,3,1,0,1,1,0,3,0,0,0,0
308,0,3,2,0,1,3,3,4,1,1,1,0
309,1,3,2,0,3,1,1,3,0,0,0,0
310,0,3,2,0,1,3,3,3,1,2,0,0
311,0,3,2,1,1,3,3,6,0,1,1,0
312,0,0,0,1,1,1,0,3,1,1,0,0
313,0,3,2,0,1,3,0,6,1,0,0,0
314,0,3,1,0,2,0,3,1,0,0,0,0
315,0,3,2,1,0,3,3,5,1,1,1,0
316,0,3,2,1,1,2,3,3,0,1,1,0
317,0,3,2,1,2,1,3,2,0,1,0,0
318,0,3,2,1,1,1,3,2,0,1,0,0
319,0,3,2,1,2,1,3,2,0,1,0,0
320,0,3,2,1,1,3,3,5,1,1,1,0
321,0,0,0,1,3,0,0,1,0,0,0,0
322,1,3,2,0,2,3,3,5,1,1,0,0
323,1,3,2,1,2,1,3,3,0,1,0,0
324,0,3,2,0,2,3,3,6,0,1,1,0
325,0,3,2,1,3,1,3,3,0,1,0,0
326,0,3,0,0,2,1,3,3,0,0,0,0
327,1,3,1,0,3,2,0,3,0,0,1,0
328,0,3,2,0,2,1,1,3,0,0,0,0
329,1,3,2,1,1,2,3,3,0,0,1,0
330,0,3,2,0,2,1,3,3,0,0,0,0
331,0,3,2,1,1,1,0,3,0,0,0,0
332,0,3,1,0,2,1,3,2,0,1,0,0
333,0,3,2,1,0,1,3,2,0,1,0,0
334,0,0,0,1,1,0,0,1,1,1,0,0
335,0,3,2,1,2,3,3,6,0,1,1,0
336,0,3,2,1,1,1,3,2,0,1,0,0
337,0,0,0,0,3,5,0,6,1,1,0,0
338,0,3,2,1,2,1,3,3,0,1,0,0
339,1,3,2,1,0,1,3,3,0,1,0,0
340,0,3,2,0,2,1,3,2,0,1,0,0
341,0,3,2,0,2,1,3,2,0,1,0,0
342,0,3,1,0,2,0,0,0,0,0,0,0
343,0,3,1,1,0,3,3,6,1,1,1,0
344,0,3,1,1,2,1,3,2,0,0,0,0
345,0,3,1,0,1,5,3,6,0,0,0,0
346,0,3,1,1,2,0,3,1,0,0,0,0
347,0,0,0,1,1,0,0,2,1,3,0,0
348,0,0,1,0,0,2,0,3,0,0,1,0
349,0,0,0,1,2,0,0,1,0,0,0,0
350,0,3,2,0,0,4,3,5,1,1,0,0
351,0,0,1,0,1,2,0,3,1,3,0,0
352,0,0,0,0,3,4,0,6,1,1,1,0
353,0,0,1,0,3,0,0,1,1,3,0,0
354,0,3,2,0,2,0,3,2,0,0,0,0
355,0,0,0,1,2,1,0,3,0,0,0,0
356,0,3,2,1,1,2,3,3,0,0,1,0
357,0,3,2,1,2,2,3,3,0,0,0,0
358,1,3,2,1,3,0,3,2,0,1,0,0
359,0,3,1,0,1,1,3,2,0,1,0,0
360,0,3,2,1,3,1,3,3,0,0,0,0
361,0,0,0,0,2,0,0,2,1,2,0,0
362,0,0,0,1,3,1,0,2,1,2,0,0
363,0,2,2,1,2,2,3,4,1,3,0,0
364,0,2,2,0,0,1,3,2,1,3,0,0
365,0,3,2,1,1,2,3,3,0,2,0,0
366,0,0,1,1,2,1,0,2,0,0,0,0
367,0,3,2,1,1,1,3,3,0,2,0,0
368,0,3,1,1,2,0,3,1,0,1,0,0
369,0,3,1,1,3,4,0,6,0,0,0,0
370,0,3,1,0,2,1,0,2,0,0,0,0
371,1,3,2,1,2,2,3,3,0,1,1,0
372,0,3,1,0,1,3,0,4,1,0,0,0
373,0,2,2,0,2,2,3,3,1,3,0,0
374,0,2,2,0,2,1,3,2,1,3,0,0
375,0,0,1,0,0,0,0,3,1,1,0,0
376,0,3,2,1,2,4,3,6,1,3,0,0
377,1,2,2,0,1,3,3,5,1,3,0,0
378,0,3,2,1,0,3,3,6,1,3,1,0
379,0,3,2,1,1,3,3,6,1,3,0,0
380,0,3,2,0,3,1,3,3,0,2,0,0
381,1,3,2,0,1,4,3,6,1,3,1,0
382,0,3,2,0,2,2,3,3,0,1,1,0
383,0,3,2,1,2,3,3,6,0,1,0,0
384,0,3,1,0,2,0,0,3,0,0,0,0
385,0,3,0,1,3,1,2,3,0,0,0,0
386,0,3,1,0,3,3,3,6,0,0,0,0
387,0,3,1,0,2,3,3,6,0,1,1,0
388,1,3,1,0,0,2,1,3,0,0,0,0
389,0,3,1,0,3,3,2,5,0,0,1,0
390,0,3,1,0,3,2,3,3,0,0,1,0
391,0,0,1,0,1,2,0,3,1,2,1,0
392,0,3,2,1,2,3,3,3,0,1,0,0
393,0,0,1,0,3,1,0,2,1,3,0,0
394,0,3,2,0,1,1,3,3,0,1,0,0
395,0,3,2,0,2,1,3,3,0,1,0,0
396,0,3,2,0,2,1,3,3,0,0,0,0
397,0,3,2,0,1,3,3,5,1,1,1,0
398,0,2,2,1,0,2,3,3,1,3,1,0
399,0,2,2,0,3,1,3,3,1,3,0,0
400,0,2,2,0,3,3,3,6,1,3,1,0
401,1,2,2,0,1,0,3,3,1,3,0,0
402,0,2,2,0,2,3,3,6,1,3,1,0
403,0,2,2,0,2,1,3,2,1,3,0,0
404,0,0,1,0,2,2,0,5,0,0,1,0
405,0,2,2,0,2,5,3,6,1,3,0,0
406,0,0,1,1,3,1,0,3,0,0,0,0
407,0,2,2,0,1,4,3,6,1,3,0,0
408,1,2,2,0,2,0,3,2,1,3,0,0
409,0,2,2,0,2,1,3,3,1,3,0,0
410,0,2,2,0,2,0,3,1,1,3,0,0
411,0,2,2,1,1,1,3,3,1,3,0,0
412,1,2,2,1,0,0,3,2,1,3,0,0
413,0,2,2,0,2,3,3,5,1,3,0,0
414,1,3,2,1,0,0,3,3,1,3,0,0
415,0,0,1,1,2,2,0,3,1,2,1,0
416,0,2,2,1,0,4,3,6,1,3,1,0
417,0,3,2,1,3,0,3,3,1,3,0,0
418,0,2,2,0,3,3,3,5,1,3,0,0
419,0,3,2,1,2,0,3,1,1,3,0,0
420,0,2,2,0,2,4,3,6,1,3,1,0
421,0,3,2,1,2,1,3,3,1,3,0,0
422,0,3,2,1,0,1,3,3,1,3,0,0
423,0,0,0,0,2,0,0,2,1,1,0,0
424,0,3,2,1,2,1,3,3,1,3,0,0
425,0,3,2,1,1,1,3,2,1,3,0,0
426,0,3,2,1,1,2,3,3,1,3,0,0
427,1,3,2,0,0,5,3,6,1,3,0,0
428,0,3,2,0,2,2,3,3,1,3,0,0
429,0,0,0,0,3,1,0,3,0,0,0,0
430,0,3,2,0,1,1,3,2,0,2,0,0
431,0,0,0,0,1,0,0,1,1,1,0,0
432,0,0,0,0,2,0,0,0,1,1,0,0
433,0,3,2,1,2,3,3,3,1,3,0,0
434,1,3,2,0,2,1,3,3,0,2,0,0
435,0,3,2,0,2,0,3,2,0,1,0,0
436,0,3,2,1,0,4,3,6,1,2,0,0
437,0,3,2,1,3,0,3,1,0,1,0,0
438,0,0,0,0,1,3,0,4,1,2,1,0
439,0,0,0,0,2,1,0,3,1,2,0,0
440,1,3,2,1,2,2,3,3,0,1,0,0
441,0,3,2,1,3,3,3,6,0,1,0,0
442,0,0,0,0,1,0,0,1,1,3,0,0
443,0,3,2,1,0,5,3,3,1,1,1,0
444,1,3,2,1,0,6,3,6,1,1,0,0
445,0,3,2,0,2,1,3,2,0,1,0,0
446,0,3,2,0,3,1,3,3,0,1,0,0
447,1,3,2,1,2,6,3,6,1,1,0,0
448,0,3,2,0,2,3,3,6,0,1,1,0
449,0,0,1,0,1,3,0,6,1,0,0,0
450,0,3,2,1,0,1,3,3,0,1,0,0
451,0,3,2,1,2,1,3,3,0,1,0,0
452,0,3,2,0,1,2,3,3,0,1,0,0
453,0,3,2,0,1,6,3,6,1,1,1,0
454,0,3,2,0,2,0,3,1,0,1,0,0
455,0,3,2,1,0,3,3,6,1,1,1,0
456,0,0,0,1,2,0,1,1,1,3,0,0
457,0,0,0,0,3,1,0,2,1,3,0,0
458,1,3,2,1,0,1,3,3,0,0,0,0
459,1,3,2,0,2,5,3,6,1,1,0,0
460,1,3,2,0,0,2,3,3,0,0,1,0
461,0,0,0,0,2,1,0,3,0,0,0,0
462,0,2,2,1,1,1,3,3,1,3,0,0
463,0,3,2,0,1,2,3,3,0,1,0,0
464,0,2,2,0,2,1,3,3,1,3,0,0
465,0,0,1,0,0,1,0,3,1,3,0,0
466,0,3,2,1,0,2,3,3,0,1,0,0
467,0,3,2,0,2,4,3,4,1,3,0,0
468,0,0,0,0,1,2,0,3,1,1,0,0
469,0,0,0,0,1,3,0,5,1,2,1,0
470,0,0,1,0,1,1,0,3,1,1,0,0
471,0,0,0,1,3,1,0,3,1,1,0,0
472,0,3,2,0,3,0,3,1,1,3,0,0
473,0,2,2,1,2,2,3,3,1,3,0,0
474,0,2,2,0,2,1,3,3,1,3,0,0
475,0,2,2,0,3,1,3,3,1,3,0,0
476,0,0,1,0,3,2,0,3,0,0,1,0
477,0,3,2,1,2,1,3,2,1,3,0,0
478,0,3,2,0,1,1,3,3,1,3,0,0
479,0,3,2,1,2,1,3,2,1,3,0,0
480,0,0,0,0,0,1,0,2,1,1,0,0
481,0,3,2,1,3,2,3,3,0,2,0,0
482,0,3,2,0,3,3,3,4,1,2,0,0
483,0,2,2,1,1,1,3,3,1,3,0,0
484,0,3,2,1,0,2,3,4,1,3,0,0
485,0,0,0,0,1,1,0,3,1,1,0,0
486,1,3,2,0,2,5,3,6,1,3,1,0
487,0,3,2,0,3,4,3,6,1,3,1,0
488,0,0,1,1,2,0,0,2,1,2,0,0
489,0,1,2,0,0,1,3,3,1,3,0,0
490,0,2,2,1,1,2,3,3,1,3,0,0
491,0,2,2,0,2,1,3,2,1,3,0,0
492,0,0,1,0,2,3,0,4,1,1,1,0
493,0,2,2,1,2,1,3,2,1,3,0,0
494,0,2,2,0,1,2,3,4,1,3,0,0
495,0,2,2,1,0,1,3,2,1,3,0,0
496,0,2,2,0,3,2,3,4,1,3,1,0
497,0,0,1,1,2,1,0,2,1,1,0,0
498,1,2,2,1,1,4,3,6,1,3,0,0
499,0,3,2,0,2,1,3,3,1,3,0,0
500,0,3,2,0,2,5,3,3,1,3,0,0
501,0,3,2,0,0,1,3,2,0,2,0,0
502,0,3,2,1,2,1,3,2,0,2,0,0
503,0,0,0,1,1,0,0,2,1,1,0,0
504,1,3,2,0,3,0,3,1,0,2,0,0
505,0,0,0,1,1,0,0,2,1,3,0,0
506,0,3,2,0,1,0,3,3,0,2,0,0
507,1,3,2,1,3,1,3,3,0,2,0,0
508,0,0,0,0,1,2,0,3,1,3,0,0
509,0,0,0,0,0,0,0,1,1,1,0,0
510,0,3,2,0,0,1,3,3,0,2,0,0
511,0,3,2,1,2,1,3,3,1,2,0,0
512,0,3,2,0,2,4,3,6,1,2,0,0
513,0,0,1,0,0,3,0,4,1,1,0,0
514,0,3,2,0,0,0,3,1,0,1,0,0
515,0,3,2,0,2,1,3,3,0,1,0,0
516,0,0,1,1,2,1,0,3,1,2,0,0
517,0,2,2,0,2,1,3,3,1,3,0,0
518,0,2,2,1,3,2,3,3,1,3,0,0
519,0,2,2,1,1,6,3,6,1,3,1,0
520,1,2,2,0,0,2,3,4,1,3,1,0
521,0,3,2,0,2,2,3,3,0,2,1,0
522,0,3,2,1,0,1,3,3,1,2,0,0
523,0,0,0,0,3,1,0,2,0,0,0,0
524,0,3,2,1,1,0,3,2,0,1,0,0
525,0,0,1,0,1,0,0,0,1,3,0,0
526,0,0,0,0,2,1,0,3,1,1,0,0
527,0,2,2,1,1,3,3,6,1,3,0,0
528,0,3,2,1,1,1,3,2,1,3,0,0
529,0,3,2,1,2,3,3,5,0,1,1,0
530,0,2,2,1,2,0,3,1,1,3,0,0
